EBike,1,001,丁再刚,勇峰自行车公园,-,-,-,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,12:12:49.496,12:18:01.080,00:05:11.584,500,1-丁再刚.png,1500
EBike,-,002,楼文钧,假日单车山地队,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,2-楼文钧.png,0
EBike,-,003,章子俊,石舌章队,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,3-章子俊.png,0
EBike,-,004,刘卓,虬龙科技,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,4-刘卓.png,0
EBike,-,005,姜波,轻蜂摩嗨,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,5-姜波.png,0
EBike,-,006,姚路,轻蜂,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,6-姚路.png,0
EBike,-,007,王蒙,杭州Trek,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,7-王蒙.png,0
EBike,-,008,仰海龙,蛟龙,-,-,-,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,8-仰海龙.png,0
男子组,1,106,周晓龙,双轮汇SLHRacing,12:32:00.255,12:34:23.203,00:02:22.948,12:29:44.995,12:32:32.357,00:02:22.948,500,12:29:44.995,12:32:32.357,00:02:22.948,500,12:32:00.255,12:34:23.203,00:02:47.362,360,1-周晓龙.png,1360
男子组,2,103,周小焜,长沙CYCGO速行俱乐部,13:03:39.180,13:06:09.898,00:02:30.718,13:03:39.180,13:06:09.898,00:02:30.718,450,13:03:39.180,13:06:09.898,00:02:30.718,450,13:03:39.180,13:06:09.898,00:02:30.718,450,2-周小焜.png,1350
男子组,3,104,唐梦麒,北京GDRRacingTeam,13:04:48.825,13:07:19.855,00:02:31.030,13:04:48.825,13:07:19.855,00:02:31.030,420,13:04:48.825,13:07:19.855,00:02:31.030,420,13:04:48.825,13:07:19.855,00:02:31.030,420,3-唐梦麒.png,1260
男子组,4,105,周吉强,假日单车山地队,12:29:44.995,12:32:32.357,00:02:47.362,12:36:32.813,12:39:07.173,00:02:47.362,370,12:36:32.813,12:39:07.173,00:02:47.362,360,12:36:32.813,12:39:07.173,00:02:22.948,500,4-周吉强.png,1230
男子组,5,108,黄立观,假日单车山地队,12:36:32.813,12:39:07.173,00:02:34.360,12:23:23.041,12:26:02.265,00:02:34.360,400,12:23:23.041,12:26:02.265,00:02:34.360,400,12:23:23.041,12:26:02.265,00:02:34.360,400,5-黄立观.png,1200
男子组,6,102,吴超,长沙顺时针车队,12:23:23.041,12:26:02.265,00:02:39.224,DNS,DNS,00:02:39.224,390,12:20:29.986,12:23:13.765,00:02:39.224,390,12:20:29.986,12:23:13.765,00:02:39.224,390,6-吴超.png,1170
男子组,7,107,方子凡,双轮汇SLHRacing,12:34:02.108,12:36:48.630,00:02:46.522,12:34:02.108,12:36:48.630,00:02:46.522,380,12:34:02.108,12:36:48.630,00:02:46.522,370,12:34:02.108,12:36:48.630,00:02:46.522,370,7-方子凡.png,1120
男子组,8,101,雷星,HangZhou Giant Racing,DNS,DNS,DNS,12:32:00.255,12:34:23.203,DNS,0,12:32:00.255,12:34:23.203,00:02:43.779,380,12:29:44.995,12:32:32.357,00:02:43.779,380,8-雷星.png,760
男子组,9,109,梅雨龙,假日单车山地队,12:38:12.347,DNF,DNF,12:38:12.347,12:41:12.347,00:03:00.000,0,12:38:12.347,12:41:12.347,00:03:00.000,350,12:38:12.347,DNF,DNF,0,9-梅雨龙.png,350
男子组,-,110,马琰,假日单车山地队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,10-马琰.png,0
男子组,-,111,孙祺龙,假日单车山地队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,11-孙祺龙.png,0
男子组,-,112,杜芳旭,长沙CYCGO速行俱乐部,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,12-杜芳旭.png,0
男子组,-,113,俞斌,鬼魅仔车队,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,13-俞斌.png,0
男子组,-,114,金鑫越,上虞跳跳驴,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,14-金鑫越.png,0
男子组,-,115,杨琦,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,15-杨琦.png,0
男子组,-,116,黄选锦,骑行家,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,16-黄选锦.png,0
男子组,-,117,Baillod Yves Laurent Gabriel,上海魅力单车,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,17-Baillod.png,0
男子组,-,118,Eric Loriot,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,18-Eric.png,0
男子组,-,119,Ammon Lewis,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,19-Ammon.png,0
男子组,-,120,Nicolas Thiry,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,20-Nicolas.png,0
男子组,-,121,Boris Boullot,27Bike上海能量x生滑,DNS,DNS,DNS,DNS,DNS,DNS,0,DNS,DNS,DNS,0,DNS,DNS,DNS,0,21-Boris.png,0
